M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-17.463 8.905 1.480
-17.573 8.885 3.470
-17.454 9.255 2.412
-17.439 8.925 1.672
-17.411 8.955 2.990
-17.707 9.508 2.467
-17.872 9.524 6.076
-17.455 8.925 1.602
-17.532 9.238 1.669
-17.810 9.255 3.740
-18.055 9.352 3.901
-17.357 8.885 1.744
-17.448 9.075 3.024
-17.470 9.571 3.810
-17.343 8.915 1.187
-19.294 9.725 3.767
-17.335 8.755 1.963
-17.565 8.775 3.584
-17.408 9.185 2.667
-17.454 9.025 1.319
-17.635 9.097 2.957
-17.533 9.385 3.396
-17.374 9.669 3.324
-17.941 9.478 3.005
-17.562 9.194 3.099
-18.204 9.585 8.351
-17.451 9.195 2.478
-17.410 9.205 2.239
-17.399 8.815 2.994
-18.240 9.335 5.134
-17.337 8.845 1.596
-18.360 9.355 0.815
-17.585 8.875 4.215
-17.491 9.075 1.984
-18.031 9.575 5.331
-17.869 9.245 1.984
-17.356 8.935 2.406
-17.341 8.925 0.927
-19.454 9.805 2.084
-18.197 9.474 4.187
-19.089 9.635 1.818
-18.754 9.745 2.239
-17.439 8.795 2.057
-18.258 9.385 2.421
-17.347 9.289 2.512
-17.527 8.925 2.182
-17.382 9.085 2.608
-17.378 8.925 2.636
-17.333 8.895 3.106
-17.548 8.939 2.934
-17.510 9.522 3.094
-17.540 9.155 3.213
-18.739 9.665 6.964
-17.481 9.115 4.048
-19.769 9.595 1.702
-18.832 9.965 3.616
-17.718 9.065 2.688
-17.735 9.405 4.235
-17.656 9.493 2.474
-17.379 9.255 3.683
-18.328 9.365 3.228
-17.443 9.035 2.188
-18.008 9.165 3.318
-18.705 9.240 11.980
-17.759 9.255 3.769
-18.418 9.265 2.209
-17.772 9.375 3.347
-18.321 9.495 2.116
-17.463 8.985 1.615
-18.740 8.955 6.777
-18.689 9.705 4.253
-18.622 9.815 5.534
-17.645 8.965 3.457
-19.393 9.941 5.147
-17.900 9.312 4.542
-17.434 9.005 3.401
-18.650 9.709 13.153
-17.302 9.197 3.103
-19.193 9.600 2.757
-18.162 9.661 4.842
-17.693 9.651 6.004
-17.670 9.532 4.109
-17.470 9.475 3.839
-17.929 9.502 6.756
-18.961 9.612 7.378
-20.059 10.025 2.756
-18.235 9.715 3.585
-17.800 9.375 2.937
-18.293 9.085 4.395
-20.272 10.339 1.652
-18.313 9.473 5.747
-20.299 10.203 6.896
-19.957 9.725 1.417
-17.848 9.475 6.616
-19.548 9.941 2.555
-20.634 9.715 0.413
-18.119 9.547 5.147
-19.412 9.900 7.579
-17.703 9.318 4.404
-17.350 9.208 3.572
-19.827 10.113 2.260
-18.120 9.619 4.877
-18.998 9.735 2.048
-18.495 9.531 5.681
-17.612 9.235 4.205
-20.947 10.395 4.528
-18.552 9.329 4.717
-18.445 9.265 7.145
-20.766 10.475 2.594
